Date,Temperature,Humidity,Pressure,Wind_Speed,Rainfall,CO2_Level,Visibility,Cloud_Cover
2019-01-27,18.8,80.32,1017.77,20.21,1.1,408.85,4.0,54.13
2019-01-28,14.63,68.87,1010.33,0.69,0.45,410.36,6.06,77.22
2019-01-29,17.5,58.8,1009.42,20.44,0.49,412.39,10.0,84.09
2019-01-30,19.9,70.03,1015.21,23.38,0.16,409.37,5.41,47.13
2019-01-31,19.05,78.83,1007.0,12.32,0.09,410.32,3.78,73.63
2019-02-01,21.45,74.24,1021.26,4.39,0.14,411.84,9.53,32.31
2019-02-02,19.1,78.51,1008.37,14.52,0.34,408.71,6.79,0.13
2019-02-03,13.98,86.48,1019.62,13.97,0.49,409.53,9.33,50.26
2019-02-04,15.06,75.96,1014.0,10.2,0.01,410.65,7.25,2.57
2019-02-05,21.97,65.46,1023.56,20.49,0.24,410.07,7.56,34.43
2019-02-06,17.63,66.96,1010.05,21.8,0.06,410.95,9.91,59.05
2019-02-07,20.13,65.87,1017.38,19.41,0.82,409.29,6.96,52.93
2019-02-08,22.35,66.53,1015.74,13.38,0.98,411.55,6.12,39.8
2019-02-09,19.43,72.83,1017.65,10.81,1.13,410.95,7.65,46.75
2019-02-10,19.07,78.92,1008.91,31.74,0.17,411.2,4.61,69.27
2019-02-11,20.92,66.24,1012.96,0.0,1.09,411.77,5.35,41.97
2019-02-12,20.29,67.85,1008.89,16.95,0.04,409.57,7.41,63.98
2019-02-13,21.81,85.28,1010.61,9.69,0.04,411.36,7.62,86.88
2019-02-14,21.91,72.39,1012.9,6.98,0.01,409.32,6.9,81.78
2019-02-15,21.79,79.16,1013.44,3.44,1.01,409.16,7.45,50.31
2019-02-16,19.91,66.74,1013.12,18.98,0.5,409.57,10.0,80.01
2019-02-17,25.21,73.6,1017.88,3.38,0.1,410.78,2.75,36.86
2019-02-18,17.64,76.44,1014.71,30.01,0.19,410.57,8.94,68.55
2019-02-19,24.49,82.17,1012.34,14.41,0.83,409.72,3.57,83.85
2019-02-20,19.87,87.77,1005.03,10.2,0.03,410.26,7.6,87.91
2019-02-21,21.3,72.48,1005.0,4.05,0.56,410.54,3.93,81.94
2019-02-22,21.51,68.33,1020.76,15.93,0.37,410.17,9.31,75.66
2019-02-23,21.17,65.82,1011.65,26.91,0.12,410.88,9.12,6.03
2019-02-24,17.28,55.84,1011.65,20.74,0.36,409.51,9.67,74.54
2019-02-25,21.98,76.28,1016.98,12.75,1.96,408.34,2.87,47.77
2019-02-26,17.23,83.32,1014.83,7.48,0.1,410.75,6.42,100.0
2019-02-27,20.34,72.35,1010.62,8.48,0.05,409.44,6.79,24.12
2019-02-28,19.8,65.02,1022.82,15.28,0.02,410.51,9.41,71.28
2019-03-01,19.76,69.81,1015.9,10.62,0.33,408.77,3.97,84.17
2019-03-02,26.72,74.86,1015.88,17.49,0.36,409.03,7.16,88.09
2019-03-03,14.58,69.41,1008.48,13.5,0.19,409.95,5.71,22.96
2019-03-04,27.18,86.5,1012.96,26.84,0.05,412.37,9.03,38.99
2019-03-05,27.03,73.96,1009.66,26.17,0.42,408.69,4.2,64.07
2019-03-06,20.49,73.12,1010.04,8.09,0.1,407.5,8.37,59.76
2019-03-07,22.36,80.51,1014.37,9.21,0.55,409.47,7.2,68.78
2019-03-08,17.77,83.72,1009.69,19.56,0.2,410.28,1.52,38.53
2019-03-09,22.03,63.18,1016.99,5.89,0.33,410.27,5.7,51.18
2019-03-10,20.54,74.71,1018.03,10.38,0.15,411.11,8.54,31.92
2019-03-11,30.59,60.97,1007.84,16.36,0.1,410.09,7.17,46.11
2019-03-12,26.96,81.34,1014.69,11.7,0.11,409.68,6.36,63.59
2019-03-13,26.73,56.83,1014.8,12.84,0.85,410.95,2.92,24.8
2019-03-14,18.19,75.51,1013.09,28.41,0.13,409.76,8.65,72.31
2019-03-15,24.26,70.28,1014.43,16.32,0.2,410.57,7.68,39.62
2019-03-16,26.04,100.0,1013.91,16.99,0.08,408.91,5.37,87.74
2019-03-17,25.52,75.84,1017.15,25.3,0.08,409.56,8.51,26.95
2019-03-18,27.09,92.96,1015.07,30.01,0.15,408.94,5.97,54.26
2019-03-19,27.16,70.57,1001.38,16.44,0.47,412.64,7.22,68.14
2019-03-20,26.27,81.8,1009.05,18.77,0.43,408.66,10.0,54.6
2019-03-21,25.3,78.72,1016.91,35.31,0.25,410.52,6.68,39.33
2019-03-22,22.14,63.14,1017.12,15.59,0.21,411.27,5.36,12.43
2019-03-23,24.56,68.49,1012.25,14.95,0.27,408.68,6.54,67.41
2019-03-24,31.06,91.06,1011.66,6.15,0.04,410.0,7.32,33.06
2019-03-25,26.14,72.02,1016.37,14.08,0.11,410.16,6.93,36.41
2019-03-26,23.72,80.95,1011.73,27.03,0.37,407.92,4.52,20.56
2019-03-27,26.64,82.82,1011.73,13.8,0.16,410.53,4.78,93.81
2019-03-28,29.01,92.66,1016.61,5.97,0.01,410.1,6.74,62.51
2019-03-29,23.21,76.46,1011.85,21.51,0.97,409.06,6.28,78.98
2019-03-30,23.3,86.14,1015.97,12.52,0.01,408.33,10.0,18.96
2019-03-31,24.26,93.15,1004.23,21.05,0.26,408.59,2.84,92.41
2019-04-01,27.52,79.03,1010.28,18.19,1.01,410.97,6.94,41.61
2019-04-02,31.09,100.0,1016.36,10.02,0.9,409.58,7.04,58.69
2019-04-03,25.6,72.21,1013.98,7.17,0.16,412.01,8.44,38.27
2019-04-04,28.97,96.18,1020.85,6.97,1.23,410.51,3.32,18.01
2019-04-05,25.68,80.22,1015.59,9.19,0.04,408.57,8.16,11.9
2019-04-06,25.32,93.35,1008.58,19.59,0.32,408.25,7.99,54.62
2019-04-07,25.31,86.91,1010.12,15.98,0.34,408.31,8.97,41.2
2019-04-08,28.78,81.66,1011.33,30.8,0.29,409.95,8.42,35.94
2019-04-09,30.11,89.55,1016.11,2.44,0.22,408.68,6.55,76.61
2019-04-10,28.73,87.94,1016.09,25.29,0.95,411.06,6.86,8.48
2019-04-11,29.83,81.8,1014.36,4.79,1.24,410.45,6.57,78.23
2019-04-12,28.46,75.0,1017.43,3.76,0.06,410.5,7.44,38.03
2019-04-13,32.62,70.65,1012.07,11.48,0.39,409.35,9.09,71.69
2019-04-14,29.86,66.03,1015.93,20.71,0.8,410.05,5.97,85.23
2019-04-15,36.07,75.81,1010.77,26.63,0.27,409.13,8.59,42.49
2019-04-16,26.91,69.3,1007.75,0.0,0.57,408.79,8.97,44.65
2019-04-17,29.33,86.02,1007.39,18.06,2.36,411.17,10.0,10.75
2019-04-18,29.86,74.0,1010.01,19.44,0.22,409.38,9.84,35.73
2019-04-19,27.29,83.79,1010.24,20.06,0.13,412.36,8.88,29.0
2019-04-20,30.43,75.34,1015.92,19.35,0.4,411.08,6.65,30.04
2019-04-21,25.95,71.55,1012.83,29.36,0.04,410.69,4.88,0.0
2019-04-22,27.62,90.79,1014.72,25.59,0.42,408.87,8.17,41.02
2019-04-23,32.15,89.7,1017.1,19.06,0.6,411.01,10.0,33.77
2019-04-24,31.97,74.78,1008.83,9.48,0.85,410.49,7.06,81.96
2019-04-25,31.24,78.82,1006.2,20.97,0.5,411.5,7.43,56.66
2019-04-26,29.6,83.59,1013.24,24.67,1.34,408.56,6.11,54.85
2019-04-27,34.17,67.8,1013.66,9.4,0.21,409.52,7.26,59.18
2019-04-28,29.51,76.61,1002.82,20.86,0.3,411.08,4.1,0.0
2019-04-29,32.54,72.74,1007.89,20.67,0.04,411.12,9.62,44.44
2019-04-30,27.91,76.45,1016.17,5.18,0.16,411.66,6.91,56.08
2019-05-01,30.76,80.95,1006.74,26.55,1.0,410.51,6.94,56.74
2019-05-02,30.93,84.34,1016.61,18.68,0.49,410.61,7.39,67.73
2019-05-03,31.48,91.49,1009.62,29.41,0.11,409.26,6.97,10.21
2019-05-04,33.56,70.56,1017.98,12.78,0.04,409.97,6.1,0.0
2019-05-05,27.24,84.32,1016.93,18.4,0.76,409.98,5.86,43.42
2019-05-06,30.91,100.0,1012.89,19.2,0.0,411.78,7.42,0.0
2019-05-07,31.49,69.51,1007.99,12.75,0.42,410.99,8.25,37.66
2019-05-08,31.02,78.88,1009.01,29.5,1.02,410.36,8.79,65.88
2019-05-09,35.62,70.57,1019.59,16.58,0.3,410.4,10.0,40.76
2019-05-10,33.2,65.4,1010.35,19.95,0.34,411.13,10.0,60.91
2019-05-11,32.81,76.7,1016.07,6.82,0.04,411.09,6.78,73.32
2019-05-12,35.42,56.63,1008.49,2.51,0.65,412.0,9.16,49.04
2019-05-13,32.39,83.89,1016.26,2.39,1.22,410.53,4.49,84.42
2019-05-14,35.34,78.84,1009.57,17.59,0.34,409.71,8.09,40.73
2019-05-15,35.43,46.11,1018.74,1.08,0.09,410.37,6.83,70.18
2019-05-16,29.48,85.43,1009.46,2.55,0.04,409.73,7.15,17.93
2019-05-17,36.3,69.17,1005.22,11.58,0.48,409.16,8.04,71.18
2019-05-18,37.07,86.01,1012.55,17.9,1.01,411.3,6.48,45.09
2019-05-19,33.28,73.24,1016.64,15.42,0.02,409.87,4.93,45.25
2019-05-20,34.93,67.47,1013.05,16.11,1.01,410.45,9.0,0.0
2019-05-21,39.94,71.71,1018.54,6.68,0.11,410.28,5.7,76.83
2019-05-22,33.27,78.31,1008.41,14.75,0.48,412.0,7.4,76.27
2019-05-23,37.16,84.45,1016.19,5.86,0.25,409.23,7.59,75.13
2019-05-24,33.16,75.71,1020.18,19.52,0.26,410.36,9.38,19.31
2019-05-25,35.79,79.04,1011.51,26.01,0.85,410.12,4.94,18.05
2019-05-26,29.14,62.9,1020.76,2.58,0.23,409.7,10.0,75.25
2019-05-27,32.08,94.0,1017.91,12.4,0.37,409.55,6.96,21.08
2019-05-28,29.61,85.65,1003.88,33.63,0.72,410.73,8.19,71.34
2019-05-29,36.55,73.72,1013.52,14.5,0.03,409.81,8.11,49.16
2019-05-30,31.49,61.91,1008.08,22.77,0.39,409.38,8.84,10.74
2019-05-31,31.43,79.73,1008.09,13.2,0.1,409.03,8.1,96.17
2019-06-01,35.12,71.63,1008.31,26.18,1.6,409.92,7.25,39.26
2019-06-02,34.88,75.16,1013.24,15.32,0.52,410.5,4.41,78.74
2019-06-03,33.66,66.67,1016.76,20.98,0.64,409.3,6.41,81.19
2019-06-04,32.59,71.91,1008.82,32.16,1.77,410.52,5.53,41.15
2019-06-05,36.02,81.06,1021.12,2.7,0.99,410.27,6.82,100.0
2019-06-06,32.29,84.89,1021.39,10.57,2.36,410.3,5.93,9.42
2019-06-07,36.43,57.18,1009.44,10.31,1.46,409.8,7.47,11.1
2019-06-08,35.77,76.21,1003.03,17.99,0.81,410.69,10.0,43.49
2019-06-09,39.99,68.52,1009.6,7.07,1.53,410.63,6.78,27.4
2019-06-10,32.64,79.6,1018.46,19.87,5.24,409.47,4.19,51.82
2019-06-11,37.21,67.66,1019.14,9.01,2.82,410.23,7.27,46.19
2019-06-12,37.02,76.16,1009.07,4.35,0.18,410.09,8.42,28.8
2019-06-13,30.12,87.82,1007.34,21.69,1.37,410.03,7.16,47.53
2019-06-14,37.7,63.03,1014.34,17.57,3.12,409.49,6.53,20.3
2019-06-15,33.9,55.24,1019.57,15.4,3.46,410.17,6.95,70.44
2019-06-16,39.14,70.85,1013.05,4.51,1.02,409.63,5.02,62.69
2019-06-17,35.15,46.92,1009.77,0.0,0.22,410.29,4.58,65.0
2019-06-18,39.58,76.79,1011.93,26.93,0.12,409.44,6.18,40.82
2019-06-19,32.88,67.29,1009.86,15.13,11.43,409.27,7.87,79.77
2019-06-20,37.85,49.08,1000.23,22.47,0.28,409.87,8.98,37.32
2019-06-21,31.49,75.67,1011.42,22.03,0.02,410.76,5.85,0.0
2019-06-22,33.36,67.17,1005.61,16.47,0.02,409.01,6.94,1.0
2019-06-23,41.17,50.99,1012.8,24.35,1.29,409.14,4.26,9.66
2019-06-24,39.39,60.48,1009.65,23.32,2.33,408.4,6.19,47.79
2019-06-25,37.73,76.34,1019.07,17.21,1.9,410.8,7.06,31.16
2019-06-26,36.33,55.11,1023.07,16.09,0.09,410.24,6.09,29.94
2019-06-27,38.83,51.74,1006.36,20.44,0.41,411.16,9.37,67.97
2019-06-28,37.9,53.64,1005.89,27.01,0.46,410.28,5.15,66.04
2019-06-29,38.56,55.03,1013.19,26.64,2.76,411.8,8.08,76.81
2019-06-30,33.76,52.12,1007.78,0.0,1.16,410.58,7.3,37.9
2019-07-01,33.83,62.28,1012.18,4.28,3.39,410.91,6.67,57.06
2019-07-02,34.05,75.9,1015.45,20.88,3.0,408.96,8.01,58.16
2019-07-03,34.85,58.54,1012.57,21.5,0.48,410.58,9.48,50.53
2019-07-04,35.65,76.16,1014.2,35.81,0.71,411.81,8.25,58.22
2019-07-05,37.38,52.57,1015.39,13.0,0.57,409.98,6.58,28.74
2019-07-06,32.89,64.34,1021.35,18.16,1.91,409.49,4.78,56.95
2019-07-07,38.95,43.61,1007.47,11.37,4.19,409.18,10.0,40.01
2019-07-08,35.21,67.09,1005.91,0.91,2.38,411.17,5.85,54.53
2019-07-09,31.98,79.57,1011.52,16.01,1.65,409.31,10.0,80.21
2019-07-10,37.5,63.01,1016.89,10.59,1.38,411.12,5.7,73.7
2019-07-11,36.41,29.01,1017.0,11.55,1.14,409.11,6.83,46.96
2019-07-12,38.85,62.71,1007.88,29.83,2.02,409.65,7.52,78.69
2019-07-13,33.33,68.05,1003.31,4.97,0.9,410.35,7.28,5.79
2019-07-14,35.15,54.25,1010.67,2.24,4.12,409.63,7.8,45.2
2019-07-15,38.28,44.28,1012.74,16.65,1.37,409.62,10.0,38.57
2019-07-16,32.23,59.75,1008.01,17.41,2.78,410.35,7.24,25.59
2019-07-17,31.28,58.28,1011.89,8.28,2.85,409.08,9.99,43.22
2019-07-18,33.82,46.92,1000.88,22.07,0.85,410.25,7.17,67.56
2019-07-19,34.09,52.97,1009.98,22.08,7.96,409.08,8.59,18.64
2019-07-20,34.6,40.17,1015.33,14.71,1.88,409.19,6.37,39.33
2019-07-21,32.01,59.74,1010.75,23.14,0.24,412.66,7.86,67.33
2019-07-22,34.07,49.42,1008.86,15.69,1.23,408.73,6.88,38.79
2019-07-23,39.48,70.46,1007.83,9.31,1.44,410.07,6.63,84.37
2019-07-24,31.42,44.45,1010.59,7.37,2.83,408.55,7.19,40.99
2019-07-25,34.8,55.3,1012.84,14.51,4.8,409.26,6.64,100.0
2019-07-26,34.06,44.29,1010.87,24.19,2.99,408.17,7.4,59.06
2019-07-27,37.17,63.38,1015.68,21.12,1.52,409.81,7.97,28.84
2019-07-28,31.03,61.49,1011.33,11.77,0.41,410.3,8.52,45.01
2019-07-29,29.37,43.52,1014.02,16.53,1.41,410.24,6.84,61.31
2019-07-30,29.56,54.86,1012.06,22.89,0.35,410.03,6.47,94.82
2019-07-31,33.31,42.22,1015.98,17.17,1.56,410.3,4.99,78.5
2019-08-01,36.48,48.79,1002.39,10.14,1.36,409.5,8.99,63.65
2019-08-02,29.89,44.03,1010.95,9.7,2.76,407.97,9.43,88.03
2019-08-03,35.29,45.07,1015.02,14.81,2.01,410.37,5.42,79.87
2019-08-04,28.81,45.07,1015.62,10.93,2.06,410.78,7.25,98.47
2019-08-05,29.05,42.03,1015.57,16.44,4.1,410.72,8.33,19.7
2019-08-06,34.44,51.25,1016.25,7.27,1.18,410.15,9.21,46.99
2019-08-07,25.29,56.72,1010.32,14.28,2.69,409.78,7.84,39.12
2019-08-08,33.93,49.93,1014.58,22.11,0.66,409.47,7.73,95.95
2019-08-09,30.88,44.2,1012.9,12.57,0.72,408.39,8.56,76.25
2019-08-10,28.83,51.71,1017.5,22.22,0.41,410.21,6.79,45.78
2019-08-11,31.5,58.78,1008.36,16.91,0.2,410.27,8.28,66.33
2019-08-12,39.22,28.8,1009.56,26.79,1.84,409.65,6.73,73.82
2019-08-13,35.85,59.79,1021.2,20.94,0.54,409.03,7.06,43.59
2019-08-14,23.67,50.63,1013.72,26.83,1.41,410.61,5.75,54.87
2019-08-15,28.51,32.93,1009.94,14.7,0.3,409.78,2.86,61.3
2019-08-16,26.88,36.95,1009.65,13.36,0.02,410.01,6.38,31.2
2019-08-17,31.41,59.05,1003.62,15.92,5.37,409.22,6.61,27.84
2019-08-18,31.11,46.44,1002.19,14.85,2.42,411.08,5.58,12.16
2019-08-19,24.75,29.33,1014.34,19.07,1.87,410.92,5.92,53.62
2019-08-20,28.17,37.86,1014.71,8.34,0.92,407.79,6.58,25.32
2019-08-21,29.47,45.49,1011.88,9.8,5.69,411.23,9.31,79.4
2019-08-22,24.51,46.57,1016.79,18.05,0.26,410.64,4.71,52.71
2019-08-23,29.46,42.21,1012.36,0.0,1.72,408.04,8.47,71.39
2019-08-24,33.27,48.79,1017.23,29.72,0.64,409.25,9.0,33.23
2019-08-25,33.43,41.37,1014.44,17.08,4.97,408.18,5.61,4.11
2019-08-26,32.61,59.53,1016.9,7.11,0.37,411.48,4.79,44.63
2019-08-27,28.01,51.27,1019.55,26.17,0.83,409.85,5.57,77.76
2019-08-28,25.23,26.99,1019.36,30.13,0.3,409.54,6.05,49.64
2019-08-29,30.26,43.16,1010.82,14.12,0.06,408.9,6.28,4.91
2019-08-30,27.39,41.98,1014.14,16.92,3.51,410.9,6.79,61.19
2019-08-31,23.58,31.47,1007.03,16.14,1.61,411.57,7.5,44.52
2019-09-01,31.81,31.93,1008.63,4.91,6.79,409.13,3.04,68.7
2019-09-02,24.75,44.79,1023.37,7.64,1.34,410.29,8.8,99.02
2019-09-03,31.18,37.76,1006.62,14.76,1.57,409.43,7.51,61.69
2019-09-04,30.89,43.06,1014.54,11.87,0.27,409.33,8.75,46.88
2019-09-05,23.95,41.8,1014.95,17.04,0.94,411.05,5.19,33.66
2019-09-06,25.52,55.53,1002.32,40.1,1.72,411.19,6.33,60.37
2019-09-07,31.61,53.31,1011.98,13.92,1.43,411.0,8.31,54.87
2019-09-08,26.91,37.63,1018.62,22.58,2.36,409.59,5.51,78.63
2019-09-09,25.2,32.44,1009.58,10.72,0.03,410.86,8.45,62.9
2019-09-10,24.7,45.58,1017.0,21.03,2.15,410.58,7.9,30.82
2019-09-11,27.09,32.94,1012.88,1.88,0.14,408.37,5.42,42.3
2019-09-12,20.61,43.17,1013.01,8.46,3.16,409.82,7.17,45.97
2019-09-13,23.99,30.95,1009.18,21.98,5.3,409.37,8.66,45.15
2019-09-14,25.15,20.79,1016.18,5.09,7.72,408.35,9.41,28.63
2019-09-15,26.78,40.81,1018.02,32.5,1.96,408.71,7.42,37.71
2019-09-16,28.02,30.91,1015.38,19.04,1.61,408.84,7.13,31.53
2019-09-17,28.1,22.22,1012.86,17.68,0.11,409.05,5.36,78.03
2019-09-18,25.26,40.39,1011.36,16.24,3.66,409.14,9.25,43.18
2019-09-19,22.75,47.69,1010.56,23.22,4.45,409.34,8.7,46.57
2019-09-20,26.09,39.31,1014.33,10.34,1.36,411.57,4.34,63.06
2019-09-21,22.29,42.2,1013.34,6.56,0.22,411.06,8.23,80.1
2019-09-22,24.15,35.72,1013.0,19.81,1.13,408.56,6.58,14.89
2019-09-23,20.15,52.53,1011.4,11.83,2.14,410.48,9.08,48.11
2019-09-24,26.24,29.42,1005.23,21.54,0.29,411.27,8.62,76.88
2019-09-25,19.95,55.58,1009.19,16.54,0.68,409.85,5.91,45.93
2019-09-26,24.01,30.04,1016.7,10.89,0.03,408.47,4.73,44.55
2019-09-27,15.8,47.83,1000.95,14.38,1.25,410.02,7.04,63.68
2019-09-28,20.0,51.17,1016.58,20.75,1.47,409.76,7.38,74.52
2019-09-29,21.15,20.0,1014.28,22.91,7.31,408.65,7.35,56.1
2019-09-30,22.53,54.9,1005.0,8.37,0.14,409.26,5.41,91.79
2019-10-01,22.71,33.05,1012.79,19.3,0.04,410.05,4.48,34.59
2019-10-02,21.74,36.83,1019.41,19.46,0.43,410.33,6.26,17.55
2019-10-03,27.43,28.31,1017.24,20.11,0.17,409.76,8.97,48.1
2019-10-04,21.57,41.55,1008.82,31.72,0.07,410.04,8.17,50.1
2019-10-05,17.48,34.75,1014.12,21.73,0.31,409.38,2.58,88.34
2019-10-06,17.93,37.42,1010.85,19.71,1.62,410.05,7.66,39.41
2019-10-07,17.18,32.95,1013.79,16.3,0.11,410.04,7.85,50.48
2019-10-08,19.94,45.03,1022.02,13.47,0.14,411.39,9.35,55.8
2019-10-09,18.1,40.14,1020.81,19.95,0.13,409.79,4.5,65.11
2019-10-10,24.19,35.73,1010.65,17.13,0.28,409.98,6.03,30.1
2019-10-11,22.4,32.73,1005.17,4.25,0.7,408.4,3.27,75.19
2019-10-12,19.17,48.28,1003.15,22.14,0.53,409.29,5.8,11.84
2019-10-13,21.16,42.58,1012.05,2.68,0.43,411.98,10.0,52.61
2019-10-14,18.21,27.21,1012.05,22.37,0.76,409.64,1.0,60.23
2019-10-15,16.77,35.09,1007.87,12.07,0.04,410.44,1.79,54.97
2019-10-16,21.91,44.73,1019.18,6.43,0.74,409.05,7.85,52.74
2019-10-17,23.6,35.05,1004.67,20.52,0.03,407.44,4.83,22.85
2019-10-18,22.33,29.39,1016.33,18.7,0.27,408.94,4.6,71.59
2019-10-19,21.88,36.38,1007.32,26.68,0.54,408.28,7.17,29.79
2019-10-20,17.5,46.31,1015.09,26.21,1.52,408.41,8.59,74.26
2019-10-21,22.25,41.54,1008.22,0.0,1.35,410.16,8.07,72.19
2019-10-22,18.73,59.28,1014.15,18.98,0.65,409.58,8.35,36.6
2019-10-23,21.17,28.46,1006.89,23.47,0.41,410.94,6.99,66.72
2019-10-24,16.13,37.71,1016.48,21.79,0.24,409.94,7.91,69.35
2019-10-25,16.26,43.65,1019.6,29.55,0.99,410.04,7.98,36.85
2019-10-26,12.66,52.83,1010.61,8.1,0.17,410.38,8.62,33.77
2019-10-27,21.3,53.12,1022.67,15.56,0.17,409.36,4.94,16.18
2019-10-28,14.28,53.29,1009.85,27.27,0.04,409.3,8.86,95.33
2019-10-29,16.74,38.0,1012.18,19.33,0.51,409.85,9.23,86.21
2019-10-30,17.5,29.22,1010.93,17.08,0.16,409.49,3.66,16.79
2019-10-31,18.68,57.79,1009.93,9.86,0.21,411.7,4.01,33.75
2019-11-01,18.07,28.33,1008.39,6.97,0.53,410.09,7.79,47.92
2019-11-02,18.75,44.98,1008.94,26.99,0.16,411.25,8.62,21.29
2019-11-03,20.52,58.57,1007.39,7.66,0.46,409.79,7.55,91.61
2019-11-04,20.12,34.73,1021.48,15.35,0.15,409.74,8.14,48.45
2019-11-05,21.2,40.23,1015.82,6.84,1.89,409.14,6.72,57.91
2019-11-06,18.27,27.71,1010.8,28.42,0.0,409.51,10.0,84.54
2019-11-07,13.71,50.87,1010.49,17.11,0.11,410.36,8.14,32.53
2019-11-08,14.86,61.23,1011.5,27.92,0.04,411.0,8.0,61.8
2019-11-09,17.59,51.82,1015.41,5.1,0.68,410.15,10.0,45.37
2019-11-10,15.39,46.15,1016.83,1.26,0.23,410.28,7.61,68.04
2019-11-11,16.45,59.37,1006.31,20.54,0.61,408.38,2.93,63.46
2019-11-12,17.59,40.27,1004.13,9.48,0.34,410.0,6.01,86.09
2019-11-13,13.17,53.42,1011.61,12.76,0.04,410.54,4.92,53.39
2019-11-14,17.33,38.58,1014.65,6.94,0.14,408.88,10.0,81.12
2019-11-15,12.68,32.54,1015.41,19.38,0.18,408.85,4.27,67.69
2019-11-16,16.67,56.66,1002.3,3.79,0.98,410.01,8.84,62.07
2019-11-17,17.81,52.33,1023.28,5.95,0.09,409.01,8.07,24.07
2019-11-18,18.69,47.63,1021.72,12.75,0.22,410.42,6.57,42.29
2019-11-19,23.65,51.1,1006.11,10.48,0.12,410.11,7.89,0.0
2019-11-20,20.52,60.44,1001.35,23.69,0.09,411.06,1.73,50.08
2019-11-21,17.18,56.53,1007.93,15.69,0.47,409.66,5.42,60.84
2019-11-22,13.7,42.83,1006.58,13.94,0.35,410.18,6.4,48.74
2019-11-23,23.9,36.71,1020.32,22.97,0.15,411.24,7.26,59.04
2019-11-24,16.98,27.25,1012.07,13.09,0.1,411.43,5.4,48.41
2019-11-25,19.61,43.81,1012.79,15.46,0.03,409.72,8.88,62.4
2019-11-26,15.96,50.58,1010.2,13.45,0.81,409.34,3.25,65.49
2019-11-27,13.85,37.05,1009.88,13.52,0.23,411.76,6.43,82.23
2019-11-28,18.6,47.15,1023.55,17.15,0.03,411.51,7.91,86.4
2019-11-29,17.74,57.42,1013.42,26.28,0.08,411.07,10.0,31.98
2019-11-30,17.16,51.34,1012.41,17.85,0.71,410.22,10.0,76.79
2019-12-01,16.09,59.54,1007.84,18.18,0.32,409.01,8.87,34.24
2019-12-02,12.44,42.84,1009.56,21.81,0.35,409.84,5.18,87.98
2019-12-03,16.95,61.03,1009.71,21.84,0.59,410.1,6.89,14.45
2019-12-04,18.68,42.86,1009.95,6.89,0.45,410.7,8.7,19.19
2019-12-05,16.98,57.6,1009.52,19.66,0.05,409.05,9.87,38.5
2019-12-06,15.08,48.33,1015.46,10.7,0.55,410.07,8.36,42.45
2019-12-07,14.25,59.29,1014.68,17.53,0.14,409.29,7.25,79.03
2019-12-08,12.77,55.97,1014.58,14.22,0.07,409.5,6.92,46.64
2019-12-09,16.17,66.92,1018.41,4.5,0.13,411.33,8.26,76.79
2019-12-10,21.2,62.59,1014.65,28.07,2.34,411.75,6.3,89.09
2019-12-11,12.66,68.57,1015.5,3.81,1.32,409.79,8.12,13.23
2019-12-12,15.51,64.76,1015.75,20.53,0.03,411.6,10.0,37.36
2019-12-13,11.89,68.72,1022.81,15.03,0.6,408.69,8.74,60.1
